Slice,Count,Total Area,Average Size,%Area,Mean
2021-06-18_150-NaCl_4b-4_2,11,72.184,6.562,40.786,255
2021-06-18_150-NaCl_4b-4_3,10,72.841,7.284,41.158,255
2021-06-18_150-NaCl_Col-0_1,10,55.216,5.522,31.199,255
2021-06-18_150-NaCl_Col-0_2,15,63.137,4.209,35.674,255
2021-06-18_150-NaCl_Col-0_3,10,74.152,7.415,41.898,255
2021-06-18_150-NaCl_fip-37_1,8,37.757,4.720,21.334,255
2021-06-18_150-NaCl_fip-37_2,10,35.683,3.568,20.162,255
2021-06-18_150-NaCl_fip-37_3,12,39.231,3.269,22.167,255
2021-06-18_150-NaCl_Vir-1_1,10,32.805,3.281,18.536,255
2021-06-18_150-NaCl_Vir-1_2,10,38.597,3.860,21.808,255
2021-06-18_150-NaCl_Vir-1_3,9,28.266,3.141,15.971,255
2021-06-18_200-Manitol_4b-1_1,14,33.340,2.381,18.838,255
2021-06-18_200-Manitol_4b-1_2,10,37.136,3.714,20.983,255
2021-06-18_200-Manitol_4b-1_3,10,51.892,5.189,29.321,255
2021-06-18_200-Manitol_4b-2_1,10,54.197,5.420,30.623,255
2021-06-18_200-Manitol_4b-2_2,10,48.467,4.847,27.386,255
2021-06-18_200-Manitol_4b-2_3,10,48.454,4.845,27.378,255
2021-06-18_200-Manitol_4b-4_1,9,58.560,6.507,33.088,255
2021-06-18_200-Manitol_4b-4_2,10,46.513,4.651,26.282,255
2021-06-18_200-Manitol_4b-4_3,10,45.794,4.579,25.875,255
2021-06-18_200-Manitol_Col-0_1,14,47.776,3.413,26.995,255
2021-06-18_200-Manitol_Col-0_2,14,40.061,2.861,22.636,255
2021-06-18_200-Manitol_Col-0_3,12,52.574,4.381,29.706,255
2021-06-18_200-Manitol_fip-37_1,14,26.495,1.893,14.971,255
2021-06-18_200-Manitol_fip-37_2,9,45.032,5.004,25.445,255
2021-06-18_200-Manitol_fip-37_3,9,40.607,4.512,22.944,255
2021-06-18_200-Manitol_Vir-1_1,10,32.953,3.295,18.619,255
2021-06-18_200-Manitol_Vir-1_2,9,45.459,5.051,25.686,255
2021-06-18_200-Manitol_Vir-1_3,10,42.284,4.228,23.892,255
2021-06-18_300-Manitol_4b-1_1,10,41.166,4.117,23.260,255
2021-06-18_300-Manitol_4b-1_2,11,47.150,4.286,26.641,255
2021-06-18_300-Manitol_4b-1_3,10,39.375,3.937,22.248,255
2021-06-18_300-Manitol_4b-2_1,10,42.073,4.207,23.773,255
2021-06-18_300-Manitol_4b-2_2,10,44.141,4.414,24.941,255
2021-06-18_300-Manitol_4b-2_3,10,47.395,4.739,26.779,255
2021-06-18_300-Manitol_4b-4_1,10,40.069,4.007,22.640,255
2021-06-18_300-Manitol_4b-4_2,10,45.269,4.527,25.578,255
2021-06-18_300-Manitol_4b-4_3,10,35.706,3.571,20.175,255
2021-06-18_300-Manitol_Col-0_1,11,40.335,3.667,22.791,255
2021-06-18_300-Manitol_Col-0_2,10,42.555,4.255,24.045,255
2021-06-18_300-Manitol_Col-0_3,9,52.709,5.857,29.783,255
2021-06-18_300-Manitol_fip-37_1,10,44.895,4.489,25.367,255
2021-06-18_300-Manitol_fip-37_2,10,38.485,3.849,21.745,255
2021-06-18_300-Manitol_fip-37_3,10,34.361,3.436,19.415,255
2021-06-18_300-Manitol_Vir-1_1,10,46.116,4.612,26.057,255
2021-06-18_300-Manitol_Vir-1_2,10,42.900,4.290,24.240,255
2021-06-18_300-Manitol_Vir-1_3,10,42.900,4.290,24.240,255
2021-06-18_controll_4b-1_1,14,51.712,3.694,29.219,255
2021-06-18_controll_4b-1_2,11,50.416,4.583,28.487,255
2021-06-18_controll_4b-1_3,23,48.394,2.104,27.344,255
2021-06-18_controll_4b-2_1,8,64.829,8.104,36.631,255
